127.0.0.1 - - [25/Jan/2018:17:48:38 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:48:40 +0900] "GET /MyEc/ HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:48:40 +0900] "GET /MyEc/css/style1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:48:40 +0900] "GET /MyEc/image/b074.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:48:40 +0900] "GET /MyEc/image/renga.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:52:36 +0900] "GET /MyEc/ HTTP/1.1" 200 1400
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:52:36 +0900] "GET /MyEc/css/style1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:52:36 +0900] "GET /image/donut.jpg HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:52:36 +0900] "GET /MyEc/image/b074.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:52:36 +0900] "GET /MyEc/image/renga.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:52:58 +0900] "GET /MyEc/ HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:52:58 +0900] "GET /MyEc/css/style1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:52:58 +0900] "GET /image/donut.jpg HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:52:58 +0900] "GET /MyEc/image/b074.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:52:58 +0900] "GET /MyEc/image/renga.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:53:53 +0900] "GET /MyEc/ HTTP/1.1" 200 1400
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:53:53 +0900] "GET /MyEc/css/style1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:53:53 +0900] "GET /MyEc/image/b074.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:53:53 +0900] "GET /MyEc/image/donut.jpg HTTP/1.1" 200 6214554
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:53:54 +0900] "GET /MyEc/image/renga.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:54:31 +0900] "GET /MyEc/ HTTP/1.1" 200 1400
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:54:31 +0900] "GET /MyEc/css/style1.css HTTP/1.1" 200 992
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:54:31 +0900] "GET /MyEc/image/donut.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:54:31 +0900] "GET /MyEc/image/b074.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:54:31 +0900] "GET /MyEc/image/renga.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:54:38 +0900] "GET /MyEc/ HTTP/1.1" 200 1400
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:54:38 +0900] "GET /MyEc/css/style1.css HTTP/1.1" 200 992
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:54:38 +0900] "GET /MyEc/image/donut.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:54:38 +0900] "GET /MyEc/image/b074.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:54:38 +0900] "GET /MyEc/image/renga.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:55:39 +0900] "GET /MyEc/ HTTP/1.1" 200 1400
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:55:39 +0900] "GET /MyEc/css/style1.css HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:55:39 +0900] "GET /MyEc/image/donut.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:55:39 +0900] "GET /MyEc/image/b074.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2018:17:55:39 +0900] "GET /MyEc/image/renga.jpg HTTP/1.1" 304 -
